nomor_ulok,gantt_id,id,id_gantt,tanggal_pengawasan,id_pic_pengawasan
1DZ1-2605-0009,234,792,234,03/06/2026,
1DZ1-2605-0009,234,798,234,13/07/2026,
1DZ1-2605-0009,234,799,234,21/07/2026,
1GZ1-2603-0005,68,1081,68,02/06/2026,
1GZ1-2603-0005,68,1083,68,09/06/2026,
1GZ1-2603-0005,68,1079,68,27/05/2026,
1GZ1-2604-0004,42,1095,42,20/05/2026,
1GZ1-2604-0004,42,1096,42,23/05/2026,
1GZ1-2604-1GB4-R,152,2486,152,05/06/2026,
1GZ1-2604-1GB4-R,152,2490,152,05/07/2026,
1GZ1-2604-1GB4-R,152,2487,152,12/06/2026,
1GZ1-2604-1GB4-R,152,2483,152,19/05/2026,
1GZ1-2604-1GB4-R,152,2488,152,19/06/2026,
1GZ1-2604-1GB4-R,152,2484,152,22/05/2026,
1GZ1-2604-1GB4-R,152,2489,152,26/06/2026,
1GZ1-2604-1GB4-R,152,2485,152,29/05/2026,
1JZ1-2606-0001,670,1169,670,24/07/2026,
1PZ1-2509-0010,263,463,263,01/07/2026,
1PZ1-2509-0010,263,464,263,03/07/2026,
1PZ1-2509-0010,263,459,263,23/06/2026,
1PZ1-2509-0010,263,460,263,25/06/2026,
1PZ1-2509-0010,263,461,263,27/06/2026,
1PZ1-2509-0010,263,462,263,30/06/2026,
1YZ1-2604-1YO2-R,1284,2329,1284,03/07/2026,
1YZ1-2604-1YO2-R,1284,2330,1284,08/07/2026,
1YZ1-2604-1YO2-R,1284,2323,1284,09/06/2026,
1YZ1-2604-1YO2-R,1284,2324,1284,10/06/2026,
1YZ1-2604-1YO2-R,1284,2325,1284,16/06/2026,
1YZ1-2604-1YO2-R,1284,2326,1284,19/06/2026,
1YZ1-2604-1YO2-R,1284,2327,1284,26/06/2026,
1YZ1-2604-1YO2-R,1284,2328,1284,29/06/2026,
2SZ1-2508-0002,99,601,99,07/06/2026,
2SZ1-2508-0009,192,589,192,05/06/2026,
2SZ1-2508-0009,192,590,192,10/06/2026,
2SZ1-2508-0009,192,591,192,16/06/2026,
2SZ1-2508-0009,192,592,192,20/06/2026,
2SZ1-2508-0009,192,587,192,24/05/2026,
2SZ1-2508-0009,192,588,192,30/05/2026,
2SZ1-2509-0004,1105,1291,1105,04/07/2026,
2SZ1-2509-0004,1105,1292,1105,11/07/2026,
2SZ1-2509-0004,1105,1293,1105,18/07/2026,
2SZ1-2509-0004,1105,1289,1105,22/06/2026,
2SZ1-2509-0004,1105,1294,1105,23/07/2026,
2SZ1-2509-0004,1105,1290,1105,26/06/2026,
2SZ1-2601-0006,594,860,594,01/07/2026,
2SZ1-2601-0006,594,861,594,08/07/2026,
2SZ1-2601-0006,594,857,594,12/06/2026,
2SZ1-2601-0006,594,858,594,17/06/2026,
2SZ1-2601-0006,594,859,594,23/06/2026,
2SZ1-2603-0006,573,876,573,03/07/2026,
2VZ1-2605-0001,566,1237,566,30/06/2026,
BZ01-2604-0004,400,1261,400,02/08/2026,
BZ01-2604-0004,400,1262,400,03/08/2026,
BZ01-2604-0004,400,1257,400,15/07/2026,
BZ01-2604-0004,400,1258,400,17/07/2026,
BZ01-2604-0004,400,1259,400,19/07/2026,
BZ01-2604-0004,400,1260,400,22/07/2026,
CZ01-2604-0002,476,1320,476,13/06/2026,
CZ01-2604-0002,476,1321,476,23/06/2026,
CZ01-2604-0002,476,1322,476,26/06/2026,
HZ01-2604-0001,34,721,34,06/07/2026,
OZ01-2602-0010,142,935,142,04/06/2026,
OZ01-2602-0010,142,932,142,11/05/2026,
OZ01-2602-0010,142,933,142,30/05/2026,
OZ01-2602-0010,142,934,142,31/05/2026,
RZ01-2604-0011,453,1102,453,19/06/2026,
RZ01-2604-0011,453,1103,453,26/06/2026,
RZ01-2604-0011,453,1101,453,29/05/2026,
UZ01-2508-0012,91,741,91,05/06/2026,
UZ01-2508-0012,91,740,91,06/05/2026,
UZ01-2508-0012,91,742,91,07/06/2026,
UZ01-2508-0012,91,743,91,09/06/2026,
UZ01-2508-0012,91,744,91,12/06/2026,
UZ01-2508-0012,91,745,91,15/06/2026,
UZ01-2508-0012,91,746,91,18/06/2026,
UZ01-2603-0021,137,1144,137,04/07/2026,
UZ01-2603-0021,137,1142,137,09/06/2026,
UZ01-2603-0021,137,1143,137,26/06/2026,
WZ01-2604-0002,645,2766,645,03/07/2026,
WZ01-2604-0002,645,2767,645,10/07/2026,
WZ01-2604-0002,645,2763,645,12/06/2026,
WZ01-2604-0002,645,2768,645,17/07/2026,
WZ01-2604-0002,645,2764,645,19/06/2026,
WZ01-2604-0002,645,2769,645,22/07/2026,
WZ01-2604-0002,645,2765,645,26/06/2026,
WZ01-2604-0002,645,2770,645,26/07/2026,
XZ01-2602-X716-R,487,580,487,08/06/2026,
Z001-2605-0001,394,401,394,21/05/2026,
Z001-2605-0001,394,402,394,22/05/2026,
Z001-2605-0001,394,403,394,26/05/2026,
Z001-2605-0001,394,404,394,30/05/2026,
