status,id,id_toko,nomor_ulok,lingkup_pekerjaan,nama_toko,cabang,hari_denda,nilai_denda,old_link_pdf_opname,new_link_pdf_opname,error
WOULD_REGENERATE,317,1273,WZ01-2602-0026,SIPIL,RINGROAD SUNGGAL,MEDAN,40,7500000.00,https://drive.google.com/file/d/1nxqlB0A_rP1gSYGUmENnFxLq6_hhqeiu/view?usp=drivesdk,,
WOULD_REGENERATE,243,1275,WZ01-2602-0026,ME,RINGROAD SUNGGAL,MEDAN,40,7500000.00,https://drive.google.com/file/d/17fpWrjbRtPdWTGTdIrKzBh_Jl6ue1uYh/view?usp=drivesdk,,
WOULD_REGENERATE,325,1462,WZ01-2602-0010,ME,GRIGIT,MEDAN,22,7500000.00,https://drive.google.com/file/d/1b67CS4_lqfbvmllofwWvfh5br7j3VmL3/view?usp=drivesdk,,
WOULD_REGENERATE,322,1460,WZ01-2602-0010,SIPIL,GRIGIT,MEDAN,22,7500000.00,https://drive.google.com/file/d/1OmFRUgFrGr78iUPERc87obENUrfzlHV3/view?usp=drivesdk,,
WOULD_REGENERATE,347,1416,RZ01-2604-0004,ME,TAMALAYYANG GOWA,MAKASSAR,19,7500000.00,https://drive.google.com/file/d/1amnkOXdOpjBpfjZkknOnnMwmyhN9MiFl/view?usp=drivesdk,,
WOULD_REGENERATE,315,1411,RZ01-2604-0004,SIPIL,TAMALAYYANG GOWA,MAKASSAR,19,7500000.00,https://drive.google.com/file/d/1fUy9YwRTPZJ-6K6LTuoMHLnuq1UhKIJH/view?usp=drivesdk,,
WOULD_REGENERATE,63,1447,1YZ1-2604-0001,ME,WENANG MANADO,MANADO,14,7500000.00,https://drive.google.com/file/d/1AtZ8uy6B9q-bYe2DSlzim4yW6QQ6qWWe/view?usp=drivesdk,,
WOULD_REGENERATE,55,1446,1YZ1-2604-0001,SIPIL,WENANG MANADO,MANADO,14,7500000.00,https://drive.google.com/file/d/1vhJf5UkZGcp-E-XgseRWDHUehBboTb10/view?usp=drivesdk,,
WOULD_REGENERATE,342,1381,1MZ1-2604-1M4P-R,ME,JL MOCH KAHFI,PARUNG,13,7500000.00,https://drive.google.com/file/d/1elcJbYRa5MOvtHRfkTwUpE1EgJ7D3n2a/view?usp=drivesdk,,
WOULD_REGENERATE,341,1376,1MZ1-2604-1M4P-R,SIPIL,JL MOCH KAHFI,PARUNG,13,7500000.00,https://drive.google.com/file/d/1FS3ZFDUC_is_yVc9OhzNFYYskPkCSwGh/view?usp=drivesdk,,
WOULD_REGENERATE,269,1004,2DZ1-2601-0003-R,SIPIL,Central Barelang,BATAM,12,7500000.00,https://drive.google.com/file/d/1x4lnDGx7gm3iXj85ih5VZSsowQHWCR7o/view?usp=drivesdk,,
WOULD_REGENERATE,268,1005,2DZ1-2601-0003-R,ME,Central Barelang,BATAM,12,7500000.00,https://drive.google.com/file/d/1qayQ0_WmbIaLESaAITcHNV8bVEtwtYXV/view?usp=drivesdk,,
WOULD_REGENERATE,225,1337,2VZ1-2603-0006,SIPIL,LARA LUWU UTARA,LUWU,12,7500000.00,https://drive.google.com/file/d/1TawsOaOXNZtT_L9CvspsDcj_YmUMwWdN/view?usp=drivesdk,,
WOULD_REGENERATE,224,1341,2VZ1-2603-0006,ME,LARA LUWU UTARA,LUWU,12,7500000.00,https://drive.google.com/file/d/1SKzar8k4D9QXuHuJluy5GNUqs-Q2Qs4E/view?usp=drivesdk,,
WOULD_REGENERATE,267,975,2DZ1-2601-0002,SIPIL,RUKO SP PLAZA,BATAM,11,7500000.00,https://drive.google.com/file/d/1P_-oXsAq4Ce7URNwJJAPlfZJhpS9mecm/view?usp=drivesdk,,
WOULD_REGENERATE,266,990,2DZ1-2601-0002,ME,RUKO SP PLAZA,BATAM,11,7500000.00,https://drive.google.com/file/d/1191KW7Yf8gCm8U1VnQVWjMXz4vkV1BzU/view?usp=drivesdk,,
WOULD_REGENERATE,196,1495,2VZ1-2604-0001-R,SIPIL,KH. MUH. KASIM PALOPO,LUWU,11,7500000.00,https://drive.google.com/file/d/1bNNz4YgX4LIJ2h_Bs-7pj3_7w22SogqP/view?usp=drivesdk,,
WOULD_REGENERATE,194,1494,2VZ1-2604-0001-R,ME,KH. MUH. KASIM,LUWU,11,7500000.00,https://drive.google.com/file/d/1_MIkvJGJngvVzOGrPO-55_4miPBUA6hC/view?usp=drivesdk,,
