"id","id_gantt","tanggal_pengawasan","id_pic_pengawasan"
184,81,"06/05/2026",
185,81,"13/05/2026",
186,81,"20/05/2026",
187,81,"29/05/2026",
188,120,"07/05/2026",
189,120,"11/05/2026",
190,120,"19/05/2026",
191,120,"26/05/2026",
192,120,"03/06/2026",
193,120,"11/06/2026",
194,120,"17/06/2026",
195,120,"19/06/2026",
196,91,"07/05/2026",
197,91,"13/05/2026",
198,91,"21/05/2026",
199,91,"26/05/2026",
200,91,"02/06/2026",
201,91,"08/06/2026",
202,91,"17/06/2026",
203,91,"19/06/2026",
204,118,"07/05/2026",
205,118,"11/05/2026",
206,118,"20/05/2026",
207,118,"28/05/2026",
208,118,"03/06/2026",
209,118,"08/06/2026",
210,118,"17/06/2026",
211,118,"19/06/2026",
